order_id,settlement_id,expected_tier,mismatch_type,expected_match_status,notes
ORD1000,STL5000,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1001,STL5001,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1002,STL5002,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1003,STL5003,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1004,STL5004,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1005,STL5005,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1006,STL5006,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1007,STL5007,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1008,STL5008,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1009,STL5009,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1010,STL5010,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1011,STL5011,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1012,STL5012,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1013,STL5013,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1014,STL5014,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1015,STL5015,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1016,STL5016,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1017,STL5017,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1018,STL5018,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1019,STL5019,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1020,STL5020,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1021,STL5021,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1022,STL5022,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1023,STL5023,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1024,STL5024,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1025,STL5025,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1026,STL5026,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1027,STL5027,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1028,STL5028,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1029,STL5029,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1030,STL5030,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1031,STL5031,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1032,STL5032,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1033,STL5033,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1034,STL5034,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1035,STL5035,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1036,STL5036,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1037,STL5037,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1038,STL5038,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1039,STL5039,1,perfect_match,matched,"Exact ID + amount match (UPI, zero fee)"
ORD1040,STL5040,2,fee_adjusted,matched,Amount differs by fee(218.31)+tax(39.3). Method: wallet
ORD1041,STL5041,2,fee_adjusted,matched,Amount differs by fee(107.0)+tax(19.26). Method: wallet
ORD1042,STL5042,2,fee_adjusted,matched,Amount differs by fee(186.95)+tax(33.65). Method: card
ORD1043,STL5043,2,fee_adjusted,matched,Amount differs by fee(230.37)+tax(41.47). Method: wallet
ORD1044,STL5044,2,fee_adjusted,matched,Amount differs by fee(94.8)+tax(17.06). Method: wallet
