settlement_id,order_ref,payment_id,amount_settled,fee,tax,settlement_date,status
STL5020,ORD1020,pay_OZ1791jR,3185.14,0.0,0.0,2026-08-05,settled
STL5030,ORD1029,pay_wN7295pA,964.27,17.73,3.19,2026-08-08,settled
STL5033,ORD1030,pay_wG5901YE,1805.07,36.97,6.66,2026-08-30,settled
STL5009,ORD1009,pay_er2634Na,11885.47,0.0,0.0,2026-08-09,settled
STL5027,ORD9719,pay_YK5731pZ,638.17,0.0,0.0,2026-08-30,settled
STL5032,ORD1030,pay_jb0808FV,1886.14,38.64,6.95,2026-08-29,settled
STL5003,ORD1003,pay_bc1041wb,515.83,0.0,0.0,2026-08-16,settled
STL5038,ORD1033,pay_ZE7216AO,4619.52,84.96,15.29,2026-08-30,settled
STL5012,ORD1012,pay_Xg5175GC,7092.9,108.31,19.5,2026-08-22,settled
STL5005,ORD1005,pay_QQ3736gT,3178.18,65.1,11.72,2026-08-19,settled
STL5026,ORD9835,pay_yj8412nT,3731.82,76.44,13.76,2026-08-21,settled
STL5006,ORD1006,pay_eb5170HG,8283.97,152.35,27.42,2026-08-27,settled
STL5039,ORD1033,pay_GT7967fB,2872.09,52.82,9.51,2026-08-31,settled
STL5010,ORD1010,pay_yl2628by,1827.09,27.9,5.02,2026-08-18,settled
STL5007,ORD1007,pay_Sp8496Md,4198.44,64.11,11.54,2026-08-08,settled
STL5036,ORD1032,pay_Zk1247Uo,1527.15,28.09,5.06,2026-08-17,settled
STL5019,ORD1019,pay_rd5269Kx,5738.62,0.0,0.0,2026-08-18,settled
STL5011,ORD1011,pay_eh1977YN,7268.79,111.0,19.98,2026-08-21,settled
STL5018,ORD1018,pay_aI8560cw,9490.76,0.0,0.0,2026-08-15,settled
STL5034,ORD1031,pay_wx8072PZ,718.02,14.71,2.65,2026-08-23,settled
STL5035,ORD1031,pay_Ge4564cm,1374.28,28.15,5.06,2026-08-24,settled
STL5021,ORD1021,pay_uJ3492AP,4948.0,0.0,0.0,2026-08-13,settled
STL5002,ORD1002,pay_vR8246jC,5124.51,0.0,0.0,2026-08-23,settled
STL5008,ORD1008,pay_bG9814QH,1148.34,21.12,3.8,2026-08-24,settled
STL5024,ORD9420,pay_tV8381fr,7662.21,156.95,28.25,2026-08-29,settled
STL5022,ORD9439,pay_oj4321iL,4609.27,0.0,0.0,2026-08-26,settled
STL5028,ORD1028,pay_sU3111WC,3521.67,72.14,12.99,2026-08-08,settled
STL5015,ORD1015,pay_PA1767ys,4658.75,95.43,17.18,2026-08-31,settled
STL5023,ORD9845,pay_Ns6406iT,864.69,0.0,0.0,2026-08-21,settled
STL5017,ORD1017,pay_kv4178WX,5382.0,0.0,0.0,2026-08-05,settled
STL5004,ORD1004,pay_uh8340UW,10618.15,217.5,39.15,2026-08-30,settled
STL5016,ORD1016,pay_zk7337ZB,9865.93,0.0,0.0,2026-09-01,settled
STL5001,ORD1001,pay_iA1071Lq,7863.43,0.0,0.0,2026-08-14,settled
STL5025,ORD9992,pay_kS8625Ya,6088.37,124.71,22.45,2026-08-26,settled
STL5037,ORD1032,pay_MK9527ra,1244.67,22.89,4.12,2026-08-18,settled
STL5014,ORD1014,pay_AP8902Go,3858.68,70.96,12.77,2026-08-14,settled
STL5013,ORD1013,pay_sf0290AM,13798.65,253.77,45.68,2026-08-24,settled
STL5029,ORD1028,pay_om1668EZ,1801.43,36.9,6.64,2026-08-09,settled
STL5000,ORD1000,pay_Fr1608mG,1494.21,0.0,0.0,2026-08-23,settled
STL5031,ORD1029,pay_dP4145fF,1319.95,24.28,4.37,2026-08-09,settled
