settlement_id,order_ref,payment_id,amount_settled,fee,tax,settlement_date,status
STL5070,ORD9814,pay_Pv3709ED,3353.49,68.69,12.36,2026-08-28,settled
STL5027,ORD1027,pay_Ng4572pX,4179.45,76.86,13.83,2026-08-13,settled
STL5041,ORD1041,pay_Vz2914Dz,4120.41,75.78,13.64,2026-08-12,settled
STL5034,ORD1034,pay_lE6700HA,8752.3,160.96,28.97,2026-08-30,settled
STL5095,ORD1086,pay_GG3170Fg,6729.99,123.77,22.28,2026-08-18,settled
STL5013,ORD1013,pay_ps2545PX,7978.86,0.0,0.0,2026-08-28,settled
STL5074,ORD9657,pay_YD6942se,3643.67,74.64,13.44,2026-08-18,settled
STL5020,ORD1020,pay_At2283vG,7375.8,0.0,0.0,2026-08-31,settled
STL5088,ORD1082,pay_Ro6191Fz,2578.13,47.42,8.54,2026-08-18,settled
STL5031,ORD1031,pay_eg6129mE,9122.23,139.3,25.07,2026-08-25,settled
STL5061,ORD1061,pay_QO2613bB,6451.69,0.0,0.0,2026-08-25,settled
STL5096,ORD1086,pay_dR3974qs,3004.68,55.26,9.95,2026-08-19,settled
STL5046,ORD1046,pay_Wx5864sm,13264.77,271.71,48.91,2026-08-26,settled
STL5012,ORD1012,pay_jf8258io,12442.62,0.0,0.0,2026-08-14,settled
STL5079,ORD1078,pay_hu8225mC,8600.62,176.17,31.71,2026-08-14,settled
STL5002,ORD1002,pay_nr2740aR,8587.6,0.0,0.0,2026-08-23,settled
STL5093,ORD1085,pay_pQ0797cl,7971.73,146.6,26.39,2026-08-23,settled
STL5029,ORD1029,pay_Ve2830yG,4025.88,61.48,11.07,2026-08-17,settled
STL5016,ORD1016,pay_TK6630Rh,11848.79,0.0,0.0,2026-08-13,settled
STL5025,ORD1025,pay_nk1449Tb,12915.09,264.55,47.62,2026-09-04,settled
STL5069,ORD9608,pay_ME9688gi,4927.12,90.61,16.31,2026-08-21,settled
STL5086,ORD1081,pay_IC4446qs,8680.71,177.81,32.01,2026-08-23,settled
STL5040,ORD1040,pay_gS8733he,6986.24,143.1,25.76,2026-08-08,settled
STL5076,ORD9897,pay_wY2639jp,2334.81,42.94,7.73,2026-08-26,settled
STL5019,ORD1019,pay_wT7174IZ,13160.83,0.0,0.0,2026-08-09,settled
STL5054,ORD1054,pay_JK7193zN,1802.99,27.53,4.96,2026-08-14,settled
STL5022,ORD1022,pay_wZ7216ow,13996.61,0.0,0.0,2026-08-05,settled
STL5077,ORD9131,pay_pq0313XF,4845.16,73.99,13.32,2026-08-14,settled
STL5043,ORD1043,pay_lS0017uI,6533.66,0.0,0.0,2026-08-06,settled
STL5049,ORD1049,pay_Xu3278nv,9117.81,139.23,25.06,2026-08-20,settled
STL5014,ORD1014,pay_qS9435gJ,13276.55,0.0,0.0,2026-08-08,settled
STL5083,ORD1080,pay_zO4808RU,11008.48,225.49,40.59,2026-08-27,settled
STL5082,ORD1079,pay_cb0672IO,9234.17,169.82,30.57,2026-08-17,settled
STL5035,ORD1035,pay_bj1103cL,10532.28,193.69,34.86,2026-08-17,settled
STL5008,ORD1008,pay_QM4801gs,4346.75,0.0,0.0,2026-08-05,settled
STL5058,ORD1058,pay_jE1044pw,3712.16,0.0,0.0,2026-08-05,settled
STL5030,ORD1030,pay_rg1129DO,9729.27,199.29,35.87,2026-08-31,settled
STL5094,ORD1085,pay_oZ9888Dj,6035.55,111.0,19.98,2026-08-24,settled
STL5084,ORD1080,pay_hC5838Mr,9703.0,198.75,35.77,2026-08-28,settled
STL5001,ORD1001,pay_hi7914xr,1559.83,0.0,0.0,2026-08-18,settled
STL5009,ORD1009,pay_Lp7829kE,3592.41,0.0,0.0,2026-08-25,settled
STL5057,ORD1057,pay_Ua9247dr,4811.6,0.0,0.0,2026-08-18,settled
STL5015,ORD1015,pay_pp8020xF,12214.75,0.0,0.0,2026-08-13,settled
STL5078,ORD9487,pay_Vp5415sC,4695.77,71.71,12.91,2026-09-03,settled
STL5039,ORD1039,pay_Vs8918Jk,11642.3,214.11,38.54,2026-08-19,settled
STL5004,ORD1004,pay_zs3044oI,3996.78,0.0,0.0,2026-08-18,settled
STL5028,ORD1028,pay_iZ0549oI,7708.32,117.71,21.19,2026-08-20,settled
STL5098,ORD1087,pay_Qn9583FC,8209.42,150.97,27.17,2026-08-07,settled
STL5056,ORD1056,pay_VB2432FN,5189.2,0.0,0.0,2026-09-01,settled
STL5092,ORD1084,pay_pL6061hz,4288.66,87.85,15.81,2026-08-20,settled
STL5006,ORD1006,pay_ko2605PK,2244.34,0.0,0.0,2026-08-26,settled
STL5017,ORD1017,pay_gX1274uL,1264.75,0.0,0.0,2026-08-08,settled
STL5023,ORD1023,pay_Vp4377En,10640.55,0.0,0.0,2026-09-04,settled
STL5055,ORD1055,pay_sz8825KT,605.97,0.0,0.0,2026-08-05,settled
STL5003,ORD1003,pay_lS5223yG,6263.7,0.0,0.0,2026-08-10,settled
STL5051,ORD1051,pay_yJ0846bY,12118.75,222.87,40.12,2026-08-18,settled
STL5053,ORD1053,pay_er8989Kw,4149.71,85.0,15.3,2026-08-16,settled
STL5063,ORD1063,pay_GU3966LG,4802.21,0.0,0.0,2026-08-21,settled
STL5080,ORD1078,pay_QB2390KT,5920.59,121.27,21.83,2026-08-15,settled
STL5050,ORD1050,pay_ka2443Wu,13923.89,212.62,38.27,2026-08-29,settled
STL5005,ORD1005,pay_Hq2482up,8989.22,0.0,0.0,2026-09-02,settled
STL5097,ORD1087,pay_ce7922Lx,10563.98,194.28,34.97,2026-08-06,settled
STL5081,ORD1079,pay_Qz0122bH,7013.51,128.98,23.21,2026-08-16,settled
STL5021,ORD1021,pay_qa1759VA,769.2,0.0,0.0,2026-08-05,settled
