settlement_id,order_ref,payment_id,amount_settled,fee,tax,settlement_date,status
STL5053,ORD1051,pay_MQ5349NN,6151.12,113.12,20.36,2026-08-27,settled
STL5003,ORD1003,pay_CL7774ox,6751.41,0.0,0.0,2026-08-21,settled
STL5051,ORD9592,pay_mi1601on,2732.86,55.98,10.08,2026-08-15,settled
STL5000,ORD1000,pay_Mr6763ZD,11505.45,0.0,0.0,2026-08-16,settled
STL5031,ORD1031,pay_HJ0820nP,9044.97,0.0,0.0,2026-08-28,settled
STL5058,ORD1054,pay_fz6168jD,8044.45,164.78,29.66,2026-08-09,settled
STL5032,ORD1032,pay_IB5474VX,1484.6,0.0,0.0,2026-08-14,settled
STL5004,ORD1004,pay_MH4023WI,13507.19,0.0,0.0,2026-08-25,settled
STL5014,ORD1014,pay_os6058mg,2046.69,0.0,0.0,2026-08-31,settled
STL5017,ORD1017,pay_nd3596JD,13447.45,0.0,0.0,2026-08-24,settled
STL5039,ORD1039,pay_WT6839KX,8913.71,182.58,32.86,2026-08-17,settled
STL5038,ORD1038,pay_Ag3192Va,2987.53,45.62,8.21,2026-08-15,settled
STL5025,ORD1025,pay_Ky3594cl,19255.97,294.04,52.93,2026-09-02,settled
STL5024,ORD1024,pay_hq5531tm,2028.69,41.55,7.48,2026-08-15,settled
STL5037,ORD1037,pay_pT3916AB,4989.8,91.77,16.52,2026-08-24,settled
STL5005,ORD1005,pay_TS3453Vd,3714.11,0.0,0.0,2026-08-15,settled
STL5034,ORD1034,pay_hw2642xW,5962.63,122.14,21.99,2026-09-02,settled
STL5030,ORD1030,pay_Mg5868VJ,4266.85,78.47,14.12,2026-08-13,settled
STL5054,ORD1052,pay_Km6219ZE,719.3,13.23,2.38,2026-08-06,settled
STL5009,ORD1009,pay_Ic8287DA,6814.62,0.0,0.0,2026-08-09,settled
STL5029,ORD1029,pay_uX4340tu,8860.21,181.49,32.67,2026-08-07,settled
STL5007,ORD1007,pay_HM3855lU,2100.47,0.0,0.0,2026-08-21,settled
STL5019,ORD1019,pay_Bs4327Cs,14963.89,0.0,0.0,2026-08-29,settled
STL5043,ORD1043,pay_bn4497iH,6224.05,0.0,0.0,2026-08-19,settled
STL5021,ORD1021,pay_qk9160cX,7962.07,146.43,26.36,2026-08-12,settled
STL5049,ORD9053,pay_ze6304qj,4796.79,73.25,13.18,2026-08-30,settled
STL5002,ORD1002,pay_vt7267tq,10215.16,0.0,0.0,2026-09-04,settled
STL5006,ORD1006,pay_hw9366kW,13058.82,0.0,0.0,2026-08-26,settled
STL5023,ORD1023,pay_Bo7343hc,2609.46,47.99,8.64,2026-08-30,settled
STL5010,ORD1010,pay_fG7920Mk,4209.46,0.0,0.0,2026-09-03,settled
STL5052,ORD1051,pay_jm0374Up,3397.45,62.48,11.25,2026-08-26,settled
STL5036,ORD1036,pay_iQ8011pY,3581.09,73.35,13.2,2026-08-14,settled
STL5055,ORD1052,pay_GH6536Wv,1561.21,28.71,5.17,2026-08-07,settled
STL5045,ORD1045,pay_bu6052lH,2887.23,0.0,0.0,2026-08-05,settled
STL5041,ORD1041,pay_jY4217cC,6941.06,127.65,22.98,2026-08-20,settled
STL5033,ORD1033,pay_lh0708be,10369.77,212.41,38.23,2026-08-09,settled
STL5001,ORD1001,pay_Pf0853on,6259.68,0.0,0.0,2026-08-29,settled
STL5050,ORD9348,pay_sZ7089YT,7551.09,154.67,27.84,2026-08-19,settled
STL5059,ORD1054,pay_nl0684Km,8704.43,178.29,32.09,2026-08-10,settled
STL5015,ORD1015,pay_MG5423mj,10400.95,0.0,0.0,2026-08-15,settled
STL5040,ORD1040,pay_Wp8139tl,3746.16,57.21,10.3,2026-08-09,settled
STL5028,ORD1028,pay_zw1710sU,4036.79,61.64,11.1,2026-08-19,settled
STL5022,ORD1022,pay_sM8652Qz,8302.45,152.69,27.48,2026-08-29,settled
STL5046,ORD1046,pay_WZ3003kp,6535.07,0.0,0.0,2026-08-27,settled
STL5026,ORD1026,pay_iM6948Ev,3725.8,56.89,10.24,2026-08-09,settled
STL5013,ORD1013,pay_ny1377OF,2816.55,0.0,0.0,2026-08-06,settled
STL5047,ORD9716,pay_Og2294mK,4432.15,0.0,0.0,2026-08-15,settled
STL5042,ORD1042,pay_Cm0500Yn,1951.33,0.0,0.0,2026-08-29,settled
STL5048,ORD9376,pay_Ih9976bf,7629.19,140.31,25.26,2026-08-27,settled
STL5056,ORD1053,pay_mk8324Om,4888.11,89.9,16.18,2026-08-18,settled
STL5012,ORD1012,pay_wb7084fP,772.58,0.0,0.0,2026-08-27,settled
STL5044,ORD1044,pay_XY1242dY,5211.25,0.0,0.0,2026-08-18,settled
STL5011,ORD1011,pay_XM1760hr,13064.16,0.0,0.0,2026-08-11,settled
STL5020,ORD1020,pay_AB3226CT,11581.14,0.0,0.0,2026-08-16,settled
STL5027,ORD1027,pay_al3203Qf,6281.29,95.92,17.27,2026-08-15,settled
STL5035,ORD1035,pay_KO6152hu,6276.08,115.42,20.78,2026-08-11,settled
STL5016,ORD1016,pay_Po8814Tq,6648.68,0.0,0.0,2026-08-29,settled
STL5018,ORD1018,pay_NO5399FX,4621.23,0.0,0.0,2026-08-26,settled
STL5008,ORD1008,pay_Sv6951KQ,7930.71,0.0,0.0,2026-08-12,settled
STL5057,ORD1053,pay_Kt4058BM,4270.71,78.54,14.14,2026-08-19,settled
