settlement_id,order_ref,payment_id,amount_settled,fee,tax,settlement_date,status
STL5009,ORD1009,pay_FJ3872TV,6450.07,0.0,0.0,2026-09-03,settled
STL5027,ORD9457,pay_fM9277Rw,7228.12,148.06,26.65,2026-08-17,settled
STL5007,ORD1007,pay_sh7842rA,3035.85,0.0,0.0,2026-08-11,settled
STL5012,ORD1012,pay_oZ4200nd,10038.91,0.0,0.0,2026-08-08,settled
STL5028,ORD1028,pay_QC0348wY,3125.15,57.47,10.34,2026-08-13,settled
STL5016,ORD1016,pay_ij8327UT,2305.11,35.2,6.34,2026-08-10,settled
STL5000,ORD1000,pay_dD9385qg,8801.05,0.0,0.0,2026-08-30,settled
STL5020,ORD1020,pay_zc9119Vh,8312.95,0.0,0.0,2026-08-10,settled
STL5018,ORD1018,pay_Cx0483dn,16186.26,247.17,44.49,2026-09-04,settled
STL5013,ORD1013,pay_li4738UV,6040.72,0.0,0.0,2026-08-23,settled
STL5003,ORD1003,pay_Hp6743nr,7384.86,0.0,0.0,2026-08-10,settled
STL5005,ORD1005,pay_Xt8150XA,3977.58,0.0,0.0,2026-08-30,settled
STL5029,ORD1028,pay_Xx2499yd,6431.27,118.28,21.29,2026-08-14,settled
STL5025,ORD1025,pay_TS4801PK,8466.47,0.0,0.0,2026-09-02,settled
STL5015,ORD1015,pay_XB1251cq,296.48,0.0,0.0,2026-08-21,settled
STL5024,ORD1024,pay_mF7999RZ,6834.25,139.99,25.2,2026-08-09,settled
STL5026,ORD1026,pay_YP5034eP,8026.22,0.0,0.0,2026-08-31,settled
STL5019,ORD1019,pay_fv7492zo,5776.39,118.32,21.3,2026-08-11,settled
STL5004,ORD1004,pay_Zv6361qa,5069.75,0.0,0.0,2026-08-21,settled
STL5023,ORD1023,pay_kq0582eI,10957.81,167.33,30.12,2026-08-28,settled
STL5002,ORD1002,pay_Po5375yZ,9110.23,0.0,0.0,2026-08-07,settled
STL5010,ORD1010,pay_DM8857Rr,7122.19,0.0,0.0,2026-08-29,settled
STL5021,ORD1021,pay_PW6140Np,2246.07,0.0,0.0,2026-08-07,settled
STL5008,ORD1008,pay_Hr9587tn,3734.54,0.0,0.0,2026-08-11,settled
STL5006,ORD1006,pay_wJ6241Zr,6789.13,0.0,0.0,2026-08-19,settled
STL5001,ORD1001,pay_EQ7357MK,7113.65,0.0,0.0,2026-08-14,settled
STL5014,ORD1014,pay_oD5566vO,6459.91,0.0,0.0,2026-08-24,settled
STL5011,ORD1011,pay_bH2473hz,9853.71,0.0,0.0,2026-08-17,settled
STL5022,ORD1022,pay_cI2293CM,10273.36,156.88,28.24,2026-08-29,settled
STL5017,ORD1017,pay_wC6374PD,13937.16,256.31,46.14,2026-09-05,settled
