settlement_id,order_ref,payment_id,amount_settled,fee,tax,settlement_date,status
STL5035,ORD1035,pay_Xl1280jJ,1545.46,0.0,0.0,2026-09-03,settled
STL5015,ORD1015,pay_Fu0391fE,8744.81,0.0,0.0,2026-08-13,settled
STL5066,ORD1066,pay_Lu5726hp,4301.18,88.1,15.86,2026-08-29,settled
STL5070,ORD1070,pay_FS7770OZ,655.97,12.06,2.17,2026-08-06,settled
STL5014,ORD1014,pay_Uf8809BH,1366.24,0.0,0.0,2026-08-27,settled
STL5018,ORD1018,pay_to9301DO,13023.96,0.0,0.0,2026-08-24,settled
STL5033,ORD1033,pay_DF4874ob,11255.8,0.0,0.0,2026-08-23,settled
STL5009,ORD1009,pay_Pv7242ji,2501.1,0.0,0.0,2026-08-06,settled
STL5099,ORD1092,pay_pJ7026Ee,2783.43,51.19,9.22,2026-08-06,settled
STL5096,ORD1091,pay_YO5339xa,11030.77,225.95,40.67,2026-08-26,settled
STL5092,ORD1089,pay_ae7484eP,6772.48,124.55,22.42,2026-08-30,settled
STL5088,ORD1087,pay_aD8087Mh,6551.97,120.49,21.69,2026-08-20,settled
STL5008,ORD1008,pay_Nk5641tU,10532.46,0.0,0.0,2026-08-26,settled
STL5059,ORD1059,pay_QY2720UN,2806.57,0.0,0.0,2026-08-30,settled
STL5073,ORD1073,pay_mS7498GM,7605.77,0.0,0.0,2026-09-03,settled
STL5065,ORD1065,pay_pV6518Aa,2652.66,54.34,9.78,2026-08-27,settled
STL5097,ORD1091,pay_Yq0576yp,9664.71,197.96,35.63,2026-08-27,settled
STL5010,ORD1010,pay_fF5328wD,1712.71,0.0,0.0,2026-08-23,settled
STL5089,ORD1087,pay_wD5977NR,14075.41,258.86,46.59,2026-08-21,settled
STL5067,ORD1067,pay_PF6945Rc,1514.8,23.13,4.16,2026-08-13,settled
STL5046,ORD1046,pay_dc6995cr,6700.3,102.32,18.42,2026-09-04,settled
STL5081,ORD9271,pay_rO4471Qy,5276.33,97.04,17.47,2026-08-27,settled
STL5063,ORD1063,pay_Tk4190rY,7985.36,163.57,29.44,2026-08-12,settled
STL5023,ORD1023,pay_wP0801Ka,2618.36,0.0,0.0,2026-08-24,settled
STL5050,ORD1050,pay_Dj3287PH,15160.59,231.51,41.67,2026-09-01,settled
STL5057,ORD1057,pay_YV4670qr,2908.33,59.57,10.72,2026-08-04,settled
STL5053,ORD1053,pay_RV7143Ui,6462.03,98.68,17.76,2026-08-15,settled
STL5036,ORD1036,pay_Nr4505Pq,2462.05,0.0,0.0,2026-08-31,settled
STL5000,ORD1000,pay_OI1043vG,9663.52,0.0,0.0,2026-09-05,settled
STL5076,ORD1076,pay_fE7116ko,8587.75,0.0,0.0,2026-09-02,settled
STL5068,ORD1068,pay_Lf5075NW,8363.99,171.32,30.84,2026-08-26,settled
STL5080,ORD9209,pay_eS0679CO,3339.42,61.41,11.05,2026-08-26,settled
STL5069,ORD1069,pay_hM9480FP,4509.75,82.94,14.93,2026-08-29,settled
STL5012,ORD1012,pay_Sb8451Kd,12145.5,0.0,0.0,2026-08-13,settled
STL5064,ORD1064,pay_rm9314zH,4892.42,100.21,18.04,2026-08-22,settled
STL5075,ORD1075,pay_ee1094cV,1040.36,0.0,0.0,2026-08-19,settled
STL5054,ORD1054,pay_Ea3623aV,17659.25,324.76,58.46,2026-08-21,settled
STL5040,ORD1040,pay_pg4145Zr,14296.47,218.31,39.3,2026-08-15,settled
STL5077,ORD1077,pay_Hj9413wa,6914.52,0.0,0.0,2026-08-29,settled
STL5056,ORD1056,pay_iv5466vi,7032.14,129.33,23.28,2026-09-01,settled
STL5027,ORD1027,pay_Hk9136Pl,6137.24,0.0,0.0,2026-09-02,settled
STL5038,ORD1038,pay_ys6342GY,9019.15,0.0,0.0,2026-08-22,settled
STL5006,ORD1006,pay_sr5534pE,3462.52,0.0,0.0,2026-08-18,settled
STL5002,ORD1002,pay_wz7940Ks,10215.15,0.0,0.0,2026-08-07,settled
STL5047,ORD1047,pay_qo2148nV,17260.51,317.43,57.14,2026-08-10,settled
STL5037,ORD1037,pay_zz9232La,9026.85,0.0,0.0,2026-08-24,settled
STL5011,ORD1011,pay_Ym6916dh,5512.89,0.0,0.0,2026-08-25,settled
STL5016,ORD1016,pay_mb8248Ni,878.2,0.0,0.0,2026-08-29,settled
STL5007,ORD1007,pay_Or7648Ux,12179.57,0.0,0.0,2026-09-04,settled
STL5001,ORD1001,pay_gm0133Bj,3824.4,0.0,0.0,2026-08-31,settled
STL5062,ORD1062,pay_sQ1937xX,5162.84,78.84,14.19,2026-08-20,settled
STL5078,ORD1078,pay_Tk7496nD,1638.92,0.0,0.0,2026-08-07,settled
STL5043,ORD1043,pay_Eq8356Vn,15086.42,230.37,41.47,2026-08-19,settled
STL5091,ORD1088,pay_aF4808OH,9678.59,198.25,35.68,2026-08-08,settled
STL5032,ORD1032,pay_JR4118Sm,11225.84,0.0,0.0,2026-08-19,settled
STL5041,ORD1041,pay_CG4294mb,7007.16,107.0,19.26,2026-08-27,settled
STL5082,ORD9323,pay_iO9361pJ,3158.18,58.08,10.45,2026-08-20,settled
STL5061,ORD1061,pay_MB1003nJ,1373.8,25.26,4.55,2026-08-12,settled
STL5049,ORD1049,pay_ZP9367Jp,14423.58,295.44,53.18,2026-08-09,settled
STL5074,ORD1074,pay_IR2408CD,6049.69,0.0,0.0,2026-08-19,settled
STL5055,ORD1055,pay_sB3669wk,2866.75,52.72,9.49,2026-08-22,settled
STL5017,ORD1017,pay_HP5787OE,14781.28,0.0,0.0,2026-08-08,settled
STL5021,ORD1021,pay_uV0106zG,10118.59,0.0,0.0,2026-08-13,settled
STL5051,ORD1051,pay_wc8895nu,3654.14,55.8,10.04,2026-08-20,settled
STL5024,ORD1024,pay_AY6026Qy,14844.95,0.0,0.0,2026-08-15,settled
STL5083,ORD9469,pay_Ky4210Tm,7439.24,0.0,0.0,2026-09-03,settled
STL5072,ORD1072,pay_uM4431UH,3207.65,65.7,11.83,2026-08-29,settled
STL5029,ORD1029,pay_Uw6247EA,3346.87,0.0,0.0,2026-08-21,settled
STL5039,ORD1039,pay_yO3754OB,14571.96,0.0,0.0,2026-08-08,settled
STL5044,ORD1044,pay_Zs8465Sj,6207.81,94.8,17.06,2026-08-15,settled
STL5058,ORD1058,pay_Zl2980kq,1109.04,16.94,3.05,2026-08-26,settled
STL5025,ORD1025,pay_SN8723Dl,10332.29,0.0,0.0,2026-08-09,settled
STL5028,ORD1028,pay_QN9985qt,13714.41,0.0,0.0,2026-08-18,settled
STL5060,ORD1060,pay_Fe6464Bv,3143.07,0.0,0.0,2026-08-18,settled
STL5004,ORD1004,pay_Fj7816So,1586.69,0.0,0.0,2026-08-28,settled
STL5048,ORD1048,pay_CP3320en,1591.08,32.59,5.87,2026-08-07,settled
